Target_Date,Target_ExDate,Target_TTM_Calendar,Final_TTM_AfterAM,Option_File,N_Loaded,N_SecID,N_TargetDate,N_TargetDateExDate,N_AfterBidFilter,N_AfterAskBidFilter,N_AfterNoArb,N_AfterOTM,N_AfterDropNaNIV,N_FinalObs,N_UniqueK,S0,S0_ADJ,RF,DY,DY_Date_Used,Mass_K,Mass_R,Neg_Ratio,Min_RND,Max_RND,EQ_R,GEV_R_Success,GEV_L_Success,Status,ElapsedSeconds
19960325,19960920,179,178,OP1996_3.txt,6135,6135,286,36,35,35,35,21,21,19,19,650.04,642.201468331056,0.0544648468131868,0.02487707,19960325,1,1,0,0,0.00681848504243961,1.01320882158502,1,1,Success,8.8037533
19960624,19961220,179,178,OP1996_6.txt,5516,5516,258,37,34,34,34,22,22,19,19,668.85,662.142695109967,0.0579556964835165,0.02066707,19960624,1,1,0,0,0.00643331107407693,1.01787612321058,1,1,Success,8.5992422
19960923,19970321,179,178,OP1996_9.txt,6095,6095,288,44,44,44,44,29,29,23,23,686.48,679.137747349693,0.0589370458241758,0.02204993,19960923,1,1,0,0,0.00638552561712301,1.01740630833539,1,1,Success,8.4945505
19961223,19970620,179,178,OP1996_12.txt,6958,6958,299,42,39,39,39,24,24,20,20,746.92,738.276845604917,0.0564457320879121,0.0238669,19961223,1,1,0,0,0.00500822767415995,1.015431039228,1,1,Success,8.6015599
19970324,19970919,179,178,OP1997_3.txt,8391,8391,381,54,54,54,52,33,33,27,27,790.89,782.651622606705,0.0591891850549451,0.02147189,19970324,1,1,0,0,0.00443127061400699,1.01797791572965,1,1,Success,8.7281886
19970623,19971219,179,178,OP1997_6.txt,9370,9370,396,79,73,73,68,39,39,37,37,878.62,872.11469480813,0.0587239440659341,0.01523885,19970623,1,1,0,0,0.00355532125817271,1.02085642309049,1,1,Success,8.7265646
19970922,19980320,179,178,OP1997_9.txt,9458,9458,409,54,52,52,52,29,29,27,27,955.43,946.625919610694,0.0582100965934066,0.01898308,19970922,1,1,0,0,0.00279027184219454,1.01777929418691,1,1,Success,8.684861
19971222,19980619,179,178,OP1997_12.txt,9256,9256,349,57,57,57,57,32,32,29,29,953.7,945.331781289837,0.0586503736263736,0.01807201,19971222,1,1,0,0,0.00325831372654043,1.01904525299691,1,1,Success,8.7341924
19980323,19980918,179,178,OP1998_3.txt,10301,10301,430,60,60,60,59,32,32,30,30,1095.55,1086.24323049931,0.0572344279120879,0.01749407,19980323,0.999999999999999,0.999999999999999,0,0,0.00315596905345672,1.01932540731941,1,1,Success,8.8931782
19980622,19981218,179,178,OP1998_6.txt,10126,10126,418,76,74,74,71,38,38,36,36,1103.24,1095.2038693696,0.0576083251648352,0.0149912,19980622,1,1,0,0,0.0026481023729402,1.02085883120346,1,1,Success,8.7683124
19980921,19990319,179,178,OP1998_9.txt,9890,9890,434,60,58,58,58,31,31,29,29,1023.89,1017.66383116955,0.0534330582417582,0.01250732,19980921,1,1,0,0,0.0021467043565314,1.02042425218663,1,1,Success,8.7057643
19981221,19990618,179,178,OP1998_12.txt,10030,10030,399,61,61,61,61,32,32,31,31,1202.84,1194.93592046627,0.0505654917582418,0.01351908,19981221,1,1,0,0,0.00245981669903776,1.01795568809079,1,1,Success,8.7084956
19990322,19990917,179,178,OP1999_3.txt,10349,10349,395,59,58,58,58,30,30,29,29,1297.01,1289.44916081813,0.0510209903296703,0.0119886,19990322,1,1,0,0,0.00196804644915385,1.01883627093898,1,1,Success,8.8691883
